wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-109.99547166682555144 34.83730801218606388)	1586	-0.02976	0.03216	-0.89573	-1.7586
Point (-113.57222704769799293 38.00565633253211928)	1585	-0.03263	0.03469	-0.33571	3.3874
Point (-122.64823414795674239 47.51390923093865126)	1584	-0.05723	0.01734	7.91382	0.05459
Point (-106.59554408039748807 36.71516794245746951)	1591	-0.03573	0.0264	0.16853	1.8792
Point (-122.1522806333275355 47.90424480214309)	1590	-0.0306	0.01604	7.08571	11.37461
Point (-76.56892715789817316 35.61818404318049147)	1589	-0.03601	0.0174	8.81955	12.4588
Point (-121.84497355104812755 39.20155699505806979)	1588	0.01918	0.03692	-0.91433	-7.233
Point (-77.95673927567702322 34.35617241355645746)	1595	-0.02217	0.02619	10.40964	-21.0496
Point (-109.25928029211191017 40.70388681551712295)	1594	-0.02471	0.03843	1.02356	0.3802
Point (-69.56743065515300373 45.16362127243915126)	1593	0.02564	0.04263	0.27454	21.30439
Point (-122.47620354077626814 43.3837813051013228)	1592	-0.01073	0.01983	8.48883	17.73001
Point (-97.96191307118964176 38.08558446596885005)	1599	-0.03329	0.00944	3.11907	-7.0478
Point (-94.77916082188961866 37.92293304727673586)	1598	-0.02446	0.00701	6.99665	15.07119
Point (-98.0739854927787178 41.95778455104122884)	1597	-0.09137	0.02049	1.79706	1.604
Point (-104.59801381341156912 33.1828026058280301)	1596	-0.02694	0.02229	0.97807	1.3274
Point (-123.97802503143353192 43.7234879860142982)	1571	-0.07154	0.0085	6.70944	11.86143
Point (-103.89679614479109659 32.72202987057068668)	1570	-0.02469	0.02822	2.57032	5.9838
Point (-77.53273243427713624 38.73405600882742306)	1569	0.03129	0.01289	3.28731	12.4768
Point (-119.7658485479367414 41.12365234488693488)	1568	-0.01308	0.04996	-0.86098	-1.4746
Point (-90.22643359866502522 33.47606436635465599)	1575	-0.02347	0.02521	1.47449	1.16781
Point (-99.82646503026596463 35.30297433536317442)	1574	0.0135	0.01241	1.24288	-5.9872
Point (-87.15572677115198985 47.65511436035085069)	1573				
Point (-77.97831053099930898 40.14353147937606536)	1572	-0.01776	0.03232	-2.67011	28.7902
Point (-111.52058418926024785 37.17920887277428221)	1579	-0.04094	0.02626	-0.20851	0.4888
Point (-120.27767356998859327 42.9892738562532486)	1578	-0.02057	0.0147	-0.77933	0.8934
Point (-104.42920509724397959 39.41305827975227771)	1577	-0.03544	0.02009	3.99276	4.057
Point (-106.65395727691361571 39.91160582708684501)	1576	-0.00965	0.02439	1.33168	5.0204
