wkt_geom	fid	id	T_78to14	P_78to14
Point (-93.95466520000009325 37.69058089999999339)	567	566	0.01982	302.81799
Point (-93.91299850000009997 37.94058109999999573)	424	423	0.01982	323.21112
Point (-94.28799880000003952 37.648914199999993)	583	582	0.01984	280.83978
Point (-94.0796653000000731 37.73224759999999378)	540	539	0.01987	338.51642
Point (-93.87133180000010668 37.89891439999999534)	449	448	0.0199	338.42108
Point (-93.91299850000009997 38.02391449999999651)	376	375	0.01991	312.00977
Point (-93.99633190000008653 38.31558139999999923)	206	205	0.01991	190.34863
Point (-93.95466520000009325 37.94058109999999573)	423	422	0.01995	339.96783
Point (-94.0796653000000731 37.81558099999999456)	492	491	0.01997	357.13196
Point (-94.24633210000004624 37.648914199999993)	584	583	0.01998	296.24561
Point (-93.95466520000009325 38.27391469999999885)	231	230	0.02003	203.1319
Point (-93.87133180000010668 37.94058109999999573)	425	424	0.0201	308.38501
Point (-93.91299850000009997 37.85724769999999495)	472	471	0.0201	350.67499
Point (-93.99633190000008653 37.85724769999999495)	470	469	0.02018	379.65344
Point (-94.03799860000007982 37.69058089999999339)	565	564	0.02021	328.5874
Point (-93.95466520000009325 37.85724769999999495)	471	470	0.02022	355.43585
Point (-94.0796653000000731 37.85724769999999495)	468	467	0.02024	352.6889
Point (-94.20466540000005295 38.27391469999999885)	225	224	0.02025	223.66327
Point (-93.99633190000008653 37.69058089999999339)	566	565	0.02027	322.74017
Point (-94.0796653000000731 37.77391429999999417)	516	515	0.02031	349.93896
Point (-93.87133180000010668 37.98224779999999612)	401	400	0.02031	298.51947
Point (-94.03799860000007982 37.85724769999999495)	469	468	0.02039	381.94763
Point (-93.95466520000009325 37.77391429999999417)	519	518	0.02041	337.38068
Point (-93.91299850000009997 37.69058089999999339)	568	567	0.02042	277.67426
Point (-93.87133180000010668 37.85724769999999495)	473	472	0.02042	339.59894
Point (-93.91299850000009997 38.19058129999999807)	280	279	0.02042	258.19
Point (-93.95466520000009325 37.73224759999999378)	543	542	0.02043	326.61078
Point (-93.95466520000009325 37.81558099999999456)	495	494	0.02044	346.41864
Point (-94.03799860000007982 37.73224759999999378)	541	540	0.02047	347.28107
Point (-94.16299870000005967 38.35724809999999962)	178	177	0.02056	225.47021
Point (-93.99633190000008653 37.81558099999999456)	494	493	0.02059	372.25409
Point (-93.99633190000008653 37.73224759999999378)	542	541	0.0206	343.79767
Point (-93.91299850000009997 37.81558099999999456)	496	495	0.02062	330.54065
Point (-94.24633210000004624 38.14891459999999768)	296	295	0.02063	252.466
Point (-93.8296651000001134 37.85724769999999495)	474	473	0.02072	323.47894
Point (-94.03799860000007982 37.81558099999999456)	493	492	0.02075	375.60309
Point (-94.49633230000000594 38.23224799999999846)	242	241	0.02079	173.46716
Point (-93.8296651000001134 37.89891439999999534)	450	449	0.0208	319.2215
Point (-94.03799860000007982 37.77391429999999417)	517	516	0.02086	357.00562
Point (-93.8296651000001134 37.94058109999999573)	426	425	0.02087	301.45728
Point (-93.99633190000008653 37.77391429999999417)	518	517	0.02088	352.78497
Point (-93.91299850000009997 37.77391429999999417)	520	519	0.0209	310.70996
Point (-93.91299850000009997 38.14891459999999768)	304	303	0.02093	280.12231
Point (-93.70466500000013355 37.85724769999999495)	477	476	0.02095	255.57239
Point (-94.49633230000000594 38.35724809999999962)	170	169	0.02098	168.23944
Point (-93.78799840000012011 37.89891439999999534)	451	450	0.02104	300.74396
Point (-93.91299850000009997 37.73224759999999378)	544	543	0.02108	297.91644
Point (-93.87133180000010668 38.02391449999999651)	377	376	0.02109	304.32336
Point (-93.74633170000012683 37.85724769999999495)	476	475	0.0211	277.67462
Point (-94.41299890000001938 38.14891459999999768)	292	291	0.0211	203.52545
Point (-94.49633230000000594 38.4405815000000004)	122	121	0.02111	180.07703
Point (-93.62133160000014698 38.02391449999999651)	383	382	0.02112	283.41827
Point (-94.03799860000007982 38.35724809999999962)	181	180	0.02112	193.87958
Point (-93.8296651000001134 37.98224779999999612)	402	401	0.02113	298.20483
Point (-93.78799840000012011 37.94058109999999573)	427	426	0.02115	296.1604
Point (-93.87133180000010668 37.81558099999999456)	497	496	0.02117	317.65405
