wkt_geom	fid	id	T_78to14	P_78to14
Point (-75.02999955000007049 39.7166662100000778)	1516	1515	0.02437	15.78979
Point (-76.07166630000001817 39.88333289000006943)	1331	1330	0.02437	15.88403
Point (-75.65499960000003909 40.42499960000004222)	821	820	0.02441	-53.68457
Point (-75.48833292000004747 40.04999957000006106)	1185	1184	0.02442	-30.1687
Point (-75.19666623000006211 40.13333291000005687)	1112	1111	0.02444	-60.26758
Point (-75.65499960000003909 40.13333291000005687)	1101	1100	0.02446	-39.34302
Point (-75.40499958000005165 39.7583328800000757)	1467	1466	0.02447	76.16187
Point (-75.15499956000006421 40.17499958000005478)	1073	1072	0.02447	-77.05029
Point (-75.44666625000004956 39.7583328800000757)	1466	1465	0.02452	48.41052
Point (-75.1133328900000663 40.13333291000005687)	1114	1113	0.02452	-64.9032
Point (-75.90499962000002654 39.84166622000007152)	1375	1374	0.02453	-4.76379
Point (-75.15499956000006421 40.21666625000005268)	1033	1032	0.02453	-56.25696
Point (-75.65499960000003909 40.09166624000005896)	1141	1140	0.02458	-32.526
Point (-75.07166622000006839 40.13333291000005687)	1115	1114	0.02458	-65.47168
Point (-76.2383329800000098 39.96666623000006524)	1247	1246	0.02459	55.0874
Point (-75.696666270000037 40.34166626000004641)	900	899	0.02465	-55.32458
Point (-75.696666270000037 40.79999963000002339)	460	459	0.02467	-22.67871
Point (-75.23833290000006002 40.13333291000005687)	1111	1110	0.02467	-35.39111
Point (-76.2383329800000098 40.09166624000005896)	1127	1126	0.02468	46.39893
Point (-75.65499960000003909 39.92499956000006733)	1301	1300	0.0247	-7.23438
Point (-75.696666270000037 40.00833290000006315)	1220	1219	0.02473	-38.32825
Point (-75.15499956000006421 39.79999955000007361)	1433	1432	0.02481	11.94995
Point (-75.73833294000003491 39.84166622000007152)	1379	1378	0.02484	12.82959
Point (-75.36333291000005374 39.84166622000007152)	1388	1387	0.02484	75.90405
Point (-75.23833290000006002 40.17499958000005478)	1071	1070	0.02484	-32.64331
Point (-76.32166632000000561 40.17499958000005478)	1045	1044	0.02486	44.18604
Point (-76.2383329800000098 39.92499956000006733)	1287	1286	0.02488	61.98547
Point (-75.15499956000006421 39.84166622000007152)	1393	1392	0.02491	31.45288
Point (-75.23833290000006002 40.09166624000005896)	1151	1150	0.02495	-35.59961
Point (-76.2799996500000077 39.96666623000006524)	1246	1245	0.02498	46.77625
Point (-75.07166622000006839 39.7166662100000778)	1515	1514	0.025	39.83044
Point (-75.27999957000005793 40.17499958000005478)	1070	1069	0.02503	-14.62061
