Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
Yes	Hector's dolphin	Che04NZ06 (H67/03)	NA	Sumner Beach, Pegasus Bay,Canterbury	NA	NA	NA	NA	NA	Yes	NA	TL = 1.41m possible knife marks, been dead for about 1 week found under driftwood, digital prints sent	Three samples, two disposed (two out of three in Becca's box). Massey code: WS06-07Chh	CHE04NZ06	NA	CheCt04-01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	Cb	14	yes	yes	sample name changed based on NZCETA, but not 100% confident;Location in NZCETA was given as 'Sumner Beach'. Location in DOC_Massey given as 'Canterbury'	H067	SI East Coast	30-Jan-2004	Pegasus Bay	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che04NZ15 (H91/04)	NA	Robinson Bay, Banks Peninsula	NA	NA	NA	NA	NA	NA	NA	NA	Same as Che05NZ08. Added to the database by Sahar. Massey code: WB05-31 Chh	CHE04NZ16	NA	Che04NZ16	Cephalorhynchus hectori hectori	N: 5716162	E: 2506778	beachcast	NA	NA	NA	NA	NA	NA	H91/04	NA	NA	WB05-12 Chh	NA	NA	36901	F	Ca	0	no	no	sample name changed based on DOC_Massey	H091	SI East Coast	21-Dec-2004	Akaroa	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che06NZ10 (H131/06; U07-007)	Jan-07	Timaru, Washdyke Lagoon Frontage (E2370649 N5647611)	Timaru	Pacific	NA	NA	No	Yes	No	T.L. = 145cmDoc#145/07. Extracted Marc. Sex ID and Species but sequence very messy (ME539)	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None	CHE07NZ01	Che06NZ10	Che07NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	S. Harraway	Raukapuka	NA	NA	Male	NA	H131/06	NA	NA	NA	NA	NA	NA	M	Cb	14	no	no	sample name changed based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H131	SI East Coast	18-Dec-2006	Timaru	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che07NZ03 (H132/07; U07-011)	Jan-07	Port Craig, Te Waewae Bay	Southland	Pacific	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: W07-08Ch	CHE07NZ03	NA	Che07NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Sally Chesterfield & Ros Cole	Murihiku	0.92	NA	Female	NA	H132/07	NA	NA	NA	NA	NA	NA	F	M	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had 'Port Craig, Kaiapoi' as the Location, and 'Canterbury' as the region. DOC_Massey had 'Te Wae Wae Bay, Port Craig, Kaiapoi' as the Location, and 'Hurihiku' as the DoC_Agency. This likely should have been 'Murihiku' i.e. Southland, so the Kaiapoi/Canterbury part is not correct (Port Craig is in Te Waewae Bay)	H132	SI South Coast	6-Jan-2007	Te Waewae	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che07NZ06 (H135/07; U07-052)	Mar-07	Westport, 200m N of Mokihinui River mouth	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one disposed. Massey code: W08-15Ch	CHE07NZ06	NA	Che07NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	Doug Cairns	Westport	1.24	NA	Male	NA	H135/07	NA	NA	NA	NA	NA	NA	M	Jb	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA has Motuhinau for Location, DOC_Massey has Mokihinau, but I think location should likely refer to the Mokihinui River	H135	SI West Coast	16-Feb-2007	Westport	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che07NZ07 (H130/06; U07-053)	Apr-07	Gore Bay, near Pegasus Bay	NA	Pacific	NA	NA	NA	NA	NA	T.L. = 139cmHector's ID #H163/08Carcass had been dragged up from the intertidal zone to high tide line, recovered six hours later.No net marks/obvious injuries other than gulls.Placed in freezer at DOC office GreymouthPhotos taken, not provided.	Two samples, one disposed. Massey code: W08-10Ch	CHE07NZ07	NA	Che07NZ07	Cephalorhynchus hectori hectori	NA	NA	beachcast	Wayne Beggs & Dave Milard	Mahaanui	0.88	NA	Male	NA	H130/06	NA	NA	NA	NA	NA	NA	M	Cb	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had a Collection_Date of '7-Dec-07', but based on the mix of 06 and 07 codes, likely to have stranded at the end of 2006	H130	SI East Coast	7-Dec-2006	Pegasus Bay	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che09NZ02 (H184/09; U09-137)	NA	1km E of Waikoau River, Te Waewae Bay, Southland	Southland	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Added to the database and re-coded by Sahar. Massey code: W09-18Ch	CHE09NZ02	NA	Che09NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Greg Funnell (TSO, Southland)	Murihiku	NA	NA	NA	NA	H184/09	NA	NA	NA	NA	NA	NA	F	Jb	24	no	no	NZCETA had a Date_stranded of '09/08/2018'. This would seem to be incorrrect based on the various codes with '2009' in them	H184	SI South Coast	3-Aug-2009	Te Waewae	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	Che99NZ01	NA	North Coast Arawhata River, Haast	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnetalternate code = CETOS 8737, monz2002	NA	CHE99NZ01	NA	(WS99-22Ch)	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	adult	Female	NA	NA	NA	NA	WS99-22Ch	NA	NA	30605	F	T	23	no	no	Other_info: CETOS 8737, monz2002 also associated with CHEBP12;sample renamed based on NZCETA;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had the following for Collection_Date '9 Jul 1999 (23 Jul 99-WendiRoe)'	NA	SI West Coast	9-Jul-1999	Haast/Jackson Bay	NZCETA/DOC_Massey discrepancy
Yes	Hector's dolphin	CheCb01-04	NA	Timaru	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.poor quality dried soft tissueTL = 132cmalternate code = Monz 1913	NA	CHECT01-04	NA	CheCt01-04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Cb	14	yes	yes	sample name changed based on DOC_Massey	NA	SI East Coast	24-Dec-2001	Timaru	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheTWW03	NA	Te Waewae Bay, Oreti Beach	Southland	Pacific	NA	NA	NA	NA	NA	NA	No H code. Eneterd to the database by Sahar. Massey code: None	CHETWW03	NA	CheTW03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Liz Slooten & Steve Dawson	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	M	L	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had a Date_stranded of 01/03/1996, DOC_Massey had a Collection_Date of '1/8/1997 (Mar96 strand databse & FP)'. Given DOC_Massey had noted difference in dates, going with its date	NA	SI South Coast	1-Aug-1997	Te Waewae	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheTWW06	NA	Waiawa river mouth, Te Waewae Bay	Southland	Pacific	NA	NA	NA	Yes	NA	sample found in Kirsty's firdge Aug06 Carlos had extracted	NA	CHETWW06	NA	CheTW06	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	CETOS 9694	NA	M	M	10	no	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead, but not 100% confident due to differences in stranding date;DOC_Massey had '1996' as Collection_Date, NZCETA had '18/06/2005'. In absence of additional information, going to put date as 1996-2005	NA	SI South Coast	1996-2005	Te Waewae	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheWC12/ CheOk01	NA	Okarito beach netween Waitahi Bluff and Commisioner Bluff	West Coast	Tasman	NA	NA	NA	Yes	NA	Samples from stomach of seven-gill shark, required molecular species identification. ID'd by Merel Dalebout	NA	CHEWC012	CheOk01	CheWC012	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	M	D	1	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead, but not 100% confident due to differences in stranding date and small difference in location;DOC_Massey had '11/08/1995' as Collection_Date, NZCETA had '1993'. In absence of additional information, going to put date as 1993-1995;DOC_Massey had Location as 'Jackson Bay'. Based on reconciled_alternate_code, Location taken from NZCETA	NA	SI West Coast	1993-1995	Okarito/Franz Josef	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheWC18	NA	Westport, Ngakawau NZMS L28 150534	West Coast	Tasman	NA	NA	NA	No	NA	TL = 65cm H247/13 phots: yes DOC note: dolphin was an infant, scavenging sractches and shark bites	NA	CHEWC018	NA	CheWC018	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	Hokitika	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9691	NA	M	H	6	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had a Date_stranded of 11/03/1996, DOC_Massey had a Collection_Date of '6/7/1991 (11Mar96-strand database & FP)'. Given DOC_Massey had noted difference in dates, going with its date	NA	SI West Coast	6-Jul-1991	Westport	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheWC19	NA	Westport, Ngakawau NZMS L28 150534	West Coast	Tasman	NA	NA	NA	No	NA	TL = 72cm WC295Juvenile, probably been deadÿfor two days - skin sloughing, eyes gone	NA	CHEWC019	NA	CheWC019	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	Hokitika	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9692	NA	M	J	6	yes	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had a Date_stranded of 11/03/1996, DOC_Massey had a Collection_Date of '6/7/1996 (11Mar96-strand database & FP)'. Given DOC_Massey had noted difference in dates, going with its date	NA	SI West Coast	6-Jul-1996	Westport	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheWC20	Oct-98	NA	West Coast	Tasman	NA	NA	NA	No	NA	TL = 127cm	NA	CHEWC020	NA	CheWC020	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9696	NA	F	J	9	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had no Date_stranded, but had a Date_received of 'Oct-98', while DOC_Massey had '9/12/2000 (FP-1996)'. Because of this confusion, put down 1998-2000 as the collection_date_mod	NA	SI West Coast	1998-2000	West Coast	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	CheWC04-01	?	?	?	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast, clear net marksalternate code = CETOS 9696	NA	CHEWC04-01	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Location/species is uncertain, taken from sample code	NA	Unknown	Unknown	Unknown	NZCETA/DOC_Massey discrepancy
NA	Hector's dolphin	U16-050	NA	Queen Charlotte sound	NA	Cook Strait	NA	NA	NA	NA	NA	NA	NA	U16-050	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;'MLD 1 Dec 94No' was originally entered under 'Extracted', but this would seem to be an error based on collection_date_mod of this sample, and also every other entry being Yes/No for this column	NA	SI North Coast	13-Jun-2016	Queen Charlotte Sound	NZCETA/DOC_Massey discrepancy
NA	Uncertain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	(WB04-03)	NA	(WB04-03)	Cephalorhynchus hectori ?	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	WB04-03	NA	NA	NA	NA	Ca	0	no	no	Not enough information to determine subspecies	NA	NA	2004	NA	OK
Yes	Uncertain	Che (via G Austin; H28)	NA	NA	NA	NA	NA	NA	NA	No	NA	No stranding sheetCHE16 QCS03	NA	CHE	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
Yes	Uncertain	Che00NZ01 (H36/00)	NA	NA	NA	NA	NA	NA	NA	NA	NA	TL = 1.02msample found in Kirsty's fridge Aug 06cow swimming around carcass quite agitated	Three samples, two disposed. Massey code: WB04-07 Chh	CHE00NZ01	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H036	NA	NA	NA	OK
Yes	Uncertain	Che00NZ02 (H37/00)	NA	NA	NA	NA	NA	NA	NA	NA	NA	info sheets sent to Scott via email?sample found in Kirsty's fridge Aug 06	Three samples, two disposed. Massey code: WB04-26Chh	CHE00NZ02	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H037	NA	NA	NA	OK
Yes	Uncertain	Che01NZ02 (H40/01)	NA	NA	NA	NA	NA	NA	NA	NA	NA	TL = 0.8msample found in Kirsty's fridge Aug 06	Three samples, two disposed. Massey code: WB04-31 Chh	CHE01NZ02	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H040	NA	NA	NA	OK
Yes	Uncertain	Che01NZ03 (H44/01)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Added to the database by Sahar. H code and date/Che code do not match? Two samples (one in Becca's box), combined. Massey code: WB04-10Chh	CHE01NZ03	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H044	NA	NA	NA	OK
Yes	Uncertain	Che02NZ01 (H63/02)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Three samples, Two disposed (one out of three in Becca's box). Massey code: WB04-08 Chh	CHE02NZ01	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H063	NA	NA	NA	OK
Yes	Uncertain	Che02NZ02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Added to the database by Sahar. Massey code: WB04-09Chh	CHE02NZ02	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
Yes	Maui dolphin	Che02NZ03	NA	NA	North Piha	NA	NA	NA	NA	NA	NA	NA	No data available. Added to the database by Sahar. Massey code: WB04-17Chh	CHE02NZ03	NA	NA	Cephalorhynchus hectori maui	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	Maui	8-Nov-2002	Auckland	OK
Yes	Hector's dolphin	Che03NZ01 (H74)	not sure before 2006	Between Kaikoura swimming pool and University of Canterbury marine lab	Canterbury	Pacific	net entanglement?	NA	NA	NA	NA	NA	No data available. Added to the database by Sahar. Massey code: WB04-18Chh	CHE03NZ01	NA	Che03NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Mike Morrissey	Kaikoura	NA	NA	Unknown	NA	H74/03	NA	NA	WB03-46 Chh	NA	NA	35397	F	Ia	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H074	SI East Coast	10-Nov-2003	Kaikoura	OK
Yes	Hector's dolphin	Che03NZ02 (H75)	unsure	Mangamaunu Bay 13km north of Kaikoura	Canterbury	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB04-20Chh	CHE03NZ02	NA	Che03NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Mike Morrissey	Kaikoura	1.25	NA	Male	NA	H75/03	NA	NA	WB03-47 Chh	NA	NA	35398	M	Cb1	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H075	SI East Coast	11-Nov-2003	Kaikoura	OK
Yes	Hector's dolphin	Che03NZ03 (H61/02)	NA	NA	NA	NA	NA	NA	NA	NA	NA	Foetus	Added to the database by Sahar. Massey code: WB04-20Chh, foetus	CHE03NZ03	NA	Che03NZ03	Cephalorhynchus hectori hectori	NZMS: 260J39, K39713455	NA	beachcast	NA	NA	NA	NA	Male	NA	H61/02	NA	NA	WB03-03Chh =H61/02; or{WB03-45 Chh = H61/03}	NA	NA	34209 or  35349=H61/03	M	Jb	0	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey;collection_date_mod taken from DOC_Massey database because no date information available in NZCETA	H061	SI East Coast	16-Dec-2002	Timaru	OK
Yes	Uncertain	Che03NZ04 (H68/03)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB04-22 Chh	CHE03NZ04	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H068	NA	Unknown	NA	OK
Yes	Hector's dolphin	Che03NZ08 (H69/03)	NA	Greymouth	NA	NA	NA	NA	NA	Yes	NA	TL = 1.2mdigital photo's taken	Three samples, two disposed. Massey code: WB05-14 Chh	CHE03NZ08	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H069	SI West Coast	NA	Greymouth	OK
Yes	Uncertain	Che03NZ09 (H77/03)	NA	NA	NA	NA	NA	NA	NA	Yes	NA	TL = 1.23mdigital photo's taken	Three samples, two disposed. Massey code: WB05-15 Chh	CHE03NZ09	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H077	NA	1-Dec-2003	NA	OK
Yes	Hector's dolphin	Che04NZ02 (H81/04)	unsure	3nm north of Buller river mouth, Westport	West Coast	NA	NA	NA	NA	Yes	NA	TL = 1.25m1 of 4 dolphins caught in a net	Massey code: None	CHE04NZ02	NA	Che04NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Martin Abel	Buller	1.02	NA	Male	NA	H81/04	NA	NA	WB04-07 Chh	NA	NA	35947	M	Jb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H081	SI West Coast	25-Apr-2004	Westport	OK
Yes	Hector's dolphin	Che04NZ03 (H87/04)	unsure	Port Levy, BP	Canterbury	NA	NA	NA	NA	Yes	NA	TL = 1.2m1 of 4 dolphins caught in a net	Two samples, one disposed. Massey code: WS05-35 Chh	CHE04NZ03	NA	Che04NZ03	Cephalorhynchus hectori hectori	5727229	2495464	beachcast	Al Hutt	Akaroa	NA	NA	Female	NA	H87/04	NA	NA	WB04-26 Chh	NA	NA	36708	F	E	0	no	no	"NA"	H087	SI East Coast	22-Nov-2004	Banks Peninsula	OK
Yes	Hector's dolphin	Che04NZ04 (H88/04)	unsure	Akaroa Heads	Canterbury	NA	NA	NA	NA	Yes	NA	TL = 1.45m1 of 4 dolphins caught in a net	Two samples, one disposed. Massey code: WS05-34 Chh	CHE04NZ04	NA	Che04NZ04	Cephalorhynchus hectori hectori	42o 52.90’ South	172o 65.72’ East	beachcast/floating at sea	Al Hutt	Akaroa	0.73	neonate/calf (1 week old?)	Male	NA	H88/04	NA	NA	WB04-27 Chh	NA	NA	36709	M	Ca	0	no	no	"NA"	H088	SI East Coast	4-Dec-2004	Akaroa	OK
Yes	Hector's dolphin	Che04NZ05 (H90/04)	unsure	Te Waewae Bay, Orepuki Beach	Southland	NA	NA	NA	NA	Yes	NA	TL = 72.5cm	Two samples, one disposed. Massey code: None	CHE04NZ05	NA	Che04NZ05	Cephalorhynchus hectori hectori	54232000	2004100	beachcast	Ros Cole and John Garret	Murihiku	0.8	NA	Male	NA	H90/04	NA	NA	WB04-31 Chh	NA	NA	36740	M	M	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H090	SI South Coast	11-Dec-2004	Te Waewae	OK
Yes	Hector's dolphin	Che04NZ07 (H79/04)	NA	NA	NA	NA	NA	NA	NA	Yes	NA	TL = 1.3mcaught in net, possible gun shot wounds	Two samples, one disposed. Massey code: None	CHE04NZ07	NA	Che04NZ07	Cephalorhynchus hectori hectori	5738070	2490418	beachcast/floating in surf	NA	NA	NA	NA	NA	NA	H79/04	NA	NA	WB04-08 Chh	NA	NA	35972	F	A	0	no	no	NZCETA had '?' for Date_stranded, likely because it was found floating in surf, so exact time of stranding unknown	H079	SI East Coast	30-Jan-2004	Pegasus Bay	OK
Yes	Uncertain	Che04NZ08	NA	NA	NA	NA	NA	NA	NA	Yes	NA	TL = 0.72m	Three samples, two disposed (two out of three in Becca's box). Massey code: None	CHE04NZ08	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
Yes	Uncertain	Che04NZ09 (H82/04)	NA	NA	NA	NA	NA	NA	NA	Yes	NA	Tl = 1.21m	Two samples, one disposed. Massey code: None	CHE04NZ09	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H082	NA	NA	NA	OK
Yes	Uncertain	Che04NZ10	NA	NA	NA	NA	NA	NA	NA	NA	NA	TL = 1.24msample found in Kirsty's fridge Aug 06	Three samples, two disposed. Massey code: WB05-09Chh	CHE04NZ10	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	NA	NA	NA	NA	OK
Yes	Hector's dolphin	Che04NZ11 (H84/04)	NA	New Brighton Beach, Pegasus Bay	NA	NA	NA	NA	NA	NA	NA	TL = 0.72msample found in Kirsty's fridge Aug 06	Two samples, one disposed. Massey code: WB05-06 Chh	CHE04NZ11	NA	Che04NZ11	Cephalorhynchus hectori hectori	5743832	248510	beachcast	NA	NA	NA	NA	Female	NA	H84/04	NA	NA	WB04-20 Chh	NA	NA	36528	F	E	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H084	SI East Coast	9-Oct-2004	Pegasus Bay	OK
Yes	Hector's dolphin	Che04NZ12 (H84/04)	NA	New Brighton Beach, Pegasus Bay	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code:	CHE04NZ12	NA	Che04NZ12	Cephalorhynchus hectori hectori	5743832	248510	beachcast	NA	NA	NA	foetus	NA	NA	H84/04 FOETUS	NA	NA	WB04-20 Chh foetus	NA	NA	36528	F	E	0	no	no	"NA"	H084	SI East Coast	9-Oct-2004	Pegasus Bay	OK
Yes	Hector's dolphin	Che04NZ15 (H89/04)	NA	Tumbledown Bay, Southern Banks Peninsula	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WB05-11 Chh	CHE04NZ15	NA	Che04NZ15	Cephalorhynchus hectori hectori	N: 5705945	E: 2491527	beachcast	NA	NA	NA	NA	Male	NA	H89/04	NA	NA	WB05-39 Chh	NA	NA	36779	M	Cb	0	no	no	"NA"	H089	SI East Coast	9-Dec-2004	Banks Peninsula	OK
Yes	Hector's dolphin	Che05NZ01 (H95/05)	Feb-05	Three mile beach Okarito NZMS 260 H35 Franz Josef	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WS05-32 Chh	CHE05NZ01	NA	Che05NZ01	Cephalorhynchus hectori hectori	N: 5770295	E: 2276599	beachcast	Bryce Lummis	Hokitika	1.34	adult	Unknown	NA	H95/05	NA	NA	WS05-07 Chh	NA	NA	36863	F	Jb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H095	SI West Coast	19-Jan-2005	Okarito/Franz Josef	OK
Yes	Hector's dolphin	Che05NZ02 (H98/05)	Feb-05	40km north of Westport on Nikau Beach	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: WS05-33 Chh	CHE05NZ02	NA	Che05NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Martin Abel and Scott Freeman	Buller	1.2	NA	Male	NA	H98/05	NA	NA	WB05-14 Chh	NA	NA	36922	M	Jb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H098	SI West Coast	9-Feb-2005	Westport	OK
Yes	Hector's dolphin	Che05NZ03 (H99/05)	Feb-05	Neils Beach south of Haast 260 E37 605813	West Coast	Tasman	NA	species id	NA	Yes	Yes	very decomposed black and white prints enclosedmol sex, mol id Debbie Aug 06	Massey code: None	CHE05NZ03	NA	Che05NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Robin Manera	South Westland	1.23	NA	Male	NA	H99/05	NA	NA	WB05-15 Chh	NA	NA	36326	M	Jb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H099	SI West Coast	18-Feb-2005	Haast/Jackson Bay	OK
