UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
CheSI04	Cephalorhynchus hectori hectori	Hector's dolphin	18-Feb-02	"Hokitika, 60m Nth of sewage plants, NZMS260 J32 23452 58328"			beachcast	Don Neale	Hokitika	0.66											F	Hc	14	yes	yes
CheSI27	Cephalorhynchus hectori hectori	Hector's dolphin	22-Aug-94	Kaitinu Beach (NZMS260 J32 23467 58348) (Hokitika)			beachcast	Don Neale	Hokitika	1.24											M	V	14	yes	yes
CheSI28	Cephalorhynchus hectori hectori	Hector's dolphin		"Greymouth, North Beach"			beachcast							H38/01							M	Cb	14	yes	yes
CheSI29	Cephalorhynchus hectori hectori	Hector's dolphin	25-Feb-01	Westport 1			beachcast														M	Jb	14	yes	yes
CheSI30	Cephalorhynchus hectori hectori	Hector's dolphin	25-Feb-01	Westport 2			beachcast														M	Jb	14	yes	yes
CheSI52	Cephalorhynchus hectori hectori	Hector's dolphin	23-Jan-01	"Timaru, Rangitata River"			beachcast														M	Cb	14	yes	yes
CheSI53	Cephalorhynchus hectori hectori	Hector's dolphin	14-Aug-02	"Pororari Beach spit, Punakaiki"			beachcast	Don Neale	Hokitika	1.3		F		H56/02			WB03-06Chh			34371	F	Ha	14	yes	yes
CheSI56	Cephalorhynchus hectori hectori	Hector's dolphin	10-Nov-02	10.6km west of Farewell Spit Lighthouse			beachcast	Hans Stoffregen	Golden Bay	1.33											F	T	14	yes	yes
CheTI01	Cephalorhynchus hectori hectori	Hector's dolphin	31-Jan-88	"12NM N of Timaru, 4NM offshore"			beachcast												CETOS 8841		F	C	6	no	no
CheTI02	Cephalorhynchus hectori hectori	Hector's dolphin	30-Jan-88	"12NM N of Timaru, 9NM offshore"			beachcast												CETOS 8846		M	C	0	no	no
CheTI03	Cephalorhynchus hectori hectori	Hector's dolphin	10-Mar-94	"18NM S of Timaru, 1.5NM offshore"			beachcast												CETOS 8739		M	C	6	no	no
CheTI04	Cephalorhynchus hectori hectori	Hector's dolphin	1995	Timaru			beachcast												CETOS 9581		M 	C	16	yes	yes
CheTI05	Cephalorhynchus hectori hectori	Hector's dolphin	1995	Timaru			beachcast												CETOS 9583		M	C	16	yes	yes
CheTI06	Cephalorhynchus hectori hectori	Hector's dolphin	1995	Timaru			beachcast												CETOS 9584		M	D	20	yes	yes
CheTI08	Cephalorhynchus hectori hectori	Hector's dolphin	7-Feb-95	Timaru NZMS260 J39K39 713454			beachcast												CETOS 9698		M	C	16	yes	yes
CheTI09	Cephalorhynchus hectori hectori	Hector's dolphin	28-Dec-95	"Timaru, Rangitata River Mouth"			beachcast												CETOS 9699		M	C	6	yes	yes
CheTI10	Cephalorhynchus hectori hectori	Hector's dolphin	20-Feb-95	Timaru Harbour			beachcast												CETOS 96103		M	C	16	yes	yes
CheTI12	Cephalorhynchus hectori hectori	Hector's dolphin	22-Dec-99	"Caroline Bay Beach, Timaru NZMS 260 J39-K39 706449"			beachcast	Al Hutt/Steve Harraway	Akaroa/Raukapuka	1.23				H28/99							M	C	13	yes	yes
CheTI13	Cephalorhynchus hectori hectori	Hector's dolphin	19-Mar-00	Opihi River mouth north of Timaru			beachcast	Al Hutt/Jim Lilley	Akaroa/Canterbury	0.92				H32/00							M	C	13	yes	yes
CheTW01	Cephalorhynchus hectori hectori	Hector's dolphin	1985	Te Waewae Bay			beachcast												CETOS 8507		F	L	1	no	no
CheTW02	Cephalorhynchus hectori hectori	Hector's dolphin	1986	Te Waewae Bay			beachcast												CETOS 8728		F	M	1	no	no
