param,mean,median,1.000_CI_LB,1.000_CI_UB
zeta-quantile_param_383,0.295849,0.240382,0.002660,0.860801
zeta-quantile_param_384,0.589047,0.608250,0.100400,0.962595
zeta-quantile_param_385,0.524953,0.595064,0.086218,0.862061
zeta-quantile_param_386,0.132229,0.099433,0.001978,0.583149
zeta-quantile_param_387,0.052998,0.019162,0.000088,0.371245
zeta-quantile_param_388,0.041221,0.023546,0.001144,0.299017
zeta-quantile_param_389,0.399697,0.379793,0.100987,0.791627
zeta-quantile_param_390,0.103552,0.089123,0.005183,0.351369
zeta-quantile_param_391,0.239097,0.048931,0.000552,0.871323
zeta-quantile_param_392,0.335320,0.352338,0.024152,0.713897
zeta-quantile_param_393,0.087230,0.073637,0.002738,0.300869
zeta-quantile_param_394,0.559253,0.504741,0.246337,0.964128
zeta-quantile_param_395,0.622756,0.624907,0.223836,0.980514
zeta-quantile_param_396,0.559760,0.563776,0.259781,0.853781
zeta-quantile_param_397,0.137147,0.106352,0.004822,0.412439
zeta-quantile_param_398,0.342337,0.275793,0.003915,0.819753
zeta-quantile_param_399,0.169983,0.157051,0.003042,0.526546
zeta-quantile_param_400,0.354741,0.315873,0.003118,0.913873
zeta-quantile_param_401,0.513106,0.507274,0.064507,0.963422
zeta-quantile_param_402,0.542928,0.534731,0.210255,0.905047
zeta-quantile_param_403,0.892950,0.911602,0.646057,0.996166
zeta-quantile_param_404,0.793431,0.806701,0.317493,0.995716
zeta-quantile_param_405,0.605193,0.511179,0.194472,0.997279
zeta-quantile_param_406,0.655694,0.667700,0.236763,0.927710
zeta-quantile_param_407,0.644436,0.726663,0.022418,0.937714
zeta-quantile_param_408,0.561819,0.591466,0.159261,0.872671
zeta-quantile_param_409,0.609867,0.626806,0.215813,0.924462
zeta-quantile_param_410,0.380893,0.217283,0.003908,0.967876
zeta-quantile_param_411,0.803136,0.870276,0.267859,0.995896
zeta-quantile_param_412,0.759309,0.795559,0.257186,0.986177
zeta-quantile_param_413,0.091246,0.050402,0.003406,0.336591
zeta-quantile_param_414,0.381311,0.283449,0.120572,0.861313
zeta-quantile_param_415,0.760693,0.760168,0.474180,0.972940
zeta-quantile_param_416,0.600069,0.593508,0.360926,0.818844
zeta-quantile_param_417,0.747576,0.749278,0.506663,0.925214
zeta-quantile_param_418,0.600399,0.614131,0.384773,0.789970
zeta-quantile_param_419,0.808086,0.805183,0.623679,0.946098
zeta-quantile_param_420,0.771004,0.832893,0.436249,0.946134
zeta-quantile_param_421,0.697589,0.706541,0.395289,0.986293
zeta-quantile_param_422,0.920688,0.935433,0.733525,0.989100
zeta-quantile_param_423,0.740443,0.730283,0.480616,0.938957
zeta-quantile_param_424,0.452732,0.432701,0.193413,0.695071
zeta-quantile_param_425,0.756888,0.768644,0.582413,0.923846
zeta-quantile_param_426,0.107504,0.104578,0.038121,0.188861
zeta-quantile_param_427,0.103919,0.102032,0.025685,0.193487
zeta-quantile_param_428,0.456477,0.435244,0.259577,0.752938
zeta-quantile_param_429,0.536133,0.508845,0.310806,0.839718
zeta-quantile_param_430,0.480332,0.474974,0.371481,0.661321
zeta-quantile_param_431,0.168593,0.156771,0.047539,0.378231
zeta-quantile_param_432,0.548834,0.586574,0.246098,0.859570
zeta-quantile_param_433,0.767710,0.787549,0.442584,0.987892
